"Name","Price","Location","Total_Area","Price_per_SQFT","Description","Baths","Balcony","Number of BHK","City"
"SNN Raj Serenity","₹63.0 L","Yelenahalli",905,6960,"2 BHK Apartment for sale in Bengaluru. This property is in Akshayanagar, which is a coveted investment location. This tastefully designed 2 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 1. The total number of floors in this Apartment is 14. The price of the Apartment is Rs 63.0 L. Monthly maintenance charges come to Rs 2500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 905 Squ...",3,"Yes",2,"Akshayanagar"
"Mahaveer Orchids","₹36.0 L","Choodasandra",725,4960,"This property is located in Rayasandra, off Hosa Road (around 600mtrs) and 100 mtrs away from Notre Dame Academy, Choodasandra. 

The price is negotiable. 

Please visit property directly in order to negotiate or to discuss any aspects of sale.  More About This Property Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Bengaluru's top location, Choodasandra. It is situated on floor 4. The total number of floors in this Apartment is 5. The property price of this unit is Rs 36.0 L. Monthly ...",2,"Yes",2,"Bangalore"
"Sowparnika Tharangini","₹70.0 L","Ittangur",1322,5290,"Check out this 3 BHK Apartment for sale in Ittangur, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Ittangur is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 4. The property's price is Rs 70.0 L. Residents in this property pay Rs 3040 towards maintenance. This property is a modern-day abode, with 1322 Square feet built-up area. The unit has 3...",3,"Yes",3,"Bangalore"
"Sowparnika Sai Krishna","₹60.0 L","Kada Agrahara",926,6480,"A 2bhk Semi furnished apartment in Sowparnika Sai Krishna apartments Sompura main gate , kada agrahara  Main road, Sarjapur . Details : 
926 built up, East facing , Vastu compliant  with 2 balconies 2 toilets 2 spacious bedrooms . West open with rose garden view , east open with unhindered early morning sunlight . Utility covered with glass shutters .  Receives ample sunlight throughout the day . Nearby upcoming metro and Forum Sarjapur , hospitals , major international and cbse/icse schools

Amenities and services:
- 24/7 power back up 
- Door step Garbage collection 
- In house Electritian a...",3,"Yes",2,"Bangalore"
"Midtown Opulent","₹62.0 L","Sorahunase",1140,5440,"One of the finest property in Sorahunase is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 4. It is a 4 storeyed building. The price of this Apartment is Rs 62.0 L. Other charges when you move into this property include maintenance, which is Rs 3000. This Apartment is spacious with a built-up area of 1140 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as School | Lady Vailankanni Group Of Institutions, Chrysalis High Varthur, and Pratham PreSch...",3,"Yes",2,"Bangalore"
"Suraksha Sunflower by Suraksha Properties","₹65.0 L","Sundar Ram Shetty Nagar",1100,5910,"Property for sale in Bilekahalli, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 0. The total number of floors in this building is 5. This Apartment's price is Rs 65.0 L. The built-up area is 1100 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Hospitals Bannerghatta, Fortis Hospital, and Fortis hospital Bannerghatta road. Schools like Narayana Etechno School, Mitra Academy, and Rami's Dance Inc are also n...",3,"No",2,"Bilekahalli"
"Anjanapura Township, Bangalore","₹45.0 L","Anjanapura Township",1180,3810,"Looking for a good 2 BHK Apartment in Anjanapura, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 4. This Apartment is available for Rs 45.0 L. This modern unit has a built-up area of 1180 Square feet. It is very close to some of city's best hospitals, such as, Shubhaspati,Ayurveda Academy, Bengaluru, Vishnu Healthcare Systems, and Ayurveda Seva and Samshodhanakendra. Established schools, such as Sri Chaitanya Techno School, MVS English High School, and Samriddhi Nilaya are also clo...",3,"Yes",2,"Bangalore"
"ascent apartment,Tatanagar, Devinagar,Bangalore","₹79.0 L","ascent apartment,Tatanagar",1307,6040,"Apartment has Kavery water supply, swimming pool, Gym, party hall, Genset, elevator, etc...
Apartment is located at very good residential area. 
1. Opposite to BBMP park
2. Super markets: 3 super markets within 200 m radius
3. Domino's pizza: 150 m
4. Hospital: 150 m
5. Restaurants: 150 to 200 m
6. Schools: Narayana school - 300m, Vyasa international school - 400m, Vivekananda school - 1 km, other schools and collages- within 3 km radius.
7. Bus stops: within 500m More About This Property 2 BHK Apartment for sale in Devinagar, Bengaluru. This 2 BHK unit is available in Devinagar and offers a p...",3,"No",2,"Devinagar"
"Puravankara Purva Highlands by Puravankara Limited","₹77.0 L","Lingadheeranahalli",1340,5750,"Looking for a good 2 BHK Apartment in Kanakapura Road, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 19. Total number of floors is 20. Maintenance charges of this property is Rs 3600. This Apartment is available for Rs 77.0 L. This modern unit has a built-up area of 1340 Square feet. It is very close to some of city's best hospitals, such as, Cura Hospitals - Multispeciality Hospital in Bangalore, Aikya Speciality Clinic and Diagnostic Centre, and Mathru Hospital. Established schools, such as EuroKids Prescho...",3,"No",2,"Bangalore"
"M Vishveshvaraiah Nagar, Ramamurthy Nagar,Bangalore","₹85.0 L","M Vishveshvaraiah Nagar",1200,7080,"One of the finest property in Ramamurthy Nagar is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 9. It is a 11 storeyed building. The price of this Apartment is Rs 85.0 L. This Apartment is spacious with a built-up area of 1200 Square feet. This property ensures you are a quick distance away from the city's best schools such as Hello Kids - India, New Baldwin International School Banaswadi, and Mom's Belief Therakeyz. It is also close to good and reputed hospitals like Koshys Hospital, Cloudnine Hospital - HRBR, and Shishuka Childr...",3,"No",2,"Ramamurthy Nagar"
"SLS Sunflower","₹75.0 L","Bhoganhalli",1070,7010,"Check out this 2 BHK Apartment for sale in Bhoganahalli, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Bhoganahalli is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 75.0 L. Residents in this property pay Rs 3500 towards maintenance. This property is a modern-day abode, with 1070 Square feet built-up area. The ca...",3,"No",2,"Bangalore"
"Wise Golden Rays by Wise Builders and Developers","₹150 L","Devarachikkana Halli",1575,9520,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Devarachikkana Halli. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 4 floors. This Apartment is available at a reasonable price of Rs 150 L. The built up area of this property is 1575 Square feet. There are a number of reputed schools in the vicinity such as Taal Institute of Music and Fine Aarts - Top and Best Online Music School in India, Narayana Etechno School, and Kidzee Arekere. Medical facility is also close a...",3,"Yes",3,"Bangalore"
"Sowparnika Sanvi","₹69.0 L","Vijay Nagar",1116,6180,"2 BHK Apartment for sale in Whitefield, Bengaluru. This 2 BHK unit is available in Whitefield and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Whitefield. It is on floor 1. The total number of floors is 4. The price of this Apartment is Rs 69.0 L. Residents in this project also pay monthly maintenance charges of Rs 3000. The built-up area is 1116 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from Sri Sathya Sai ...",3,"Yes",2,"Whitefield"
"Chamundi Nagar, Hebbal,Bangalore","₹85.0 L","Chamundi Nagar",1550,5480,"3 BHK Apartment for sale in Hebbal, Bengaluru. This 3 BHK unit is available in Hebbal and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Hebbal. It is on floor 1. The total number of floors is 3. The price of this Apartment is Rs 85.0 L. The built-up area is 1550 Square feet. This property is at a walking distance from Bangalore Baptist Hospital, Manipal Hospital Hebbal, and Ramaiah Memorial Hospital. The city's best schools such as Bangalore Education Gui...",3,"No",3,"Hebbal"
"Wise Golden Rays by Wise Builders and Developers","₹150 L","Devarachikkana Halli",1575,9520,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Devarachikkana Halli. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 4 floors. This Apartment is available at a reasonable price of Rs 150 L. The built up area of this property is 1575 Square feet. There are a number of reputed schools in the vicinity such as Taal Institute of Music and Fine Aarts - Top and Best Online Music School in India, Narayana Etechno School, and Kidzee Arekere. Medical facility is also close a...",3,"No",3,"Bangalore"
"Vakil Whispering Woods Residences","₹38.0 L","Thirumagondanahalli",871,4360,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Bengaluru's top location, Iggalur. It is situated on floor 3. The total number of floors in this Apartment is 4. The property price of this unit is Rs 38.0 L. The built-up area is 871 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Surana Vidyalaya, EuroKids Preschool Surya City, Best preschool in Chandapura, and De Sales Academy. Healthcare facility is al...",3,"No",2,"Bangalore"
"Puravankara Purva Highlands","₹80.0 L","Vakil Garden City",1340,5970,"A well designed 2 BHK apartment that welcomes you with it's soothingly white walls and a view of the sweeping landscape and hills in the distance. 1083 sqft of carpet area giving you ample amount space to jump about :). Being just about 2.8 Kms off Kanakapura main road, it puts you at the right distance from all the hustle bustle yet not too far from all the access you'd need. Being in Purva Highland, you could be rest assured of the support from the maintenance staff who are on their toes and the association as well. Possession is immediate. There are 2(1 attached to the master bedroom & 1 co...",3,"No",2,"Bangalore"
"Paras Manyata Apartment","₹110 L","Manayata Tech Park",1665,6610,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Bengaluru's top location, Thanisandra. It is situated on floor 4. The total number of floors in this Apartment is 4. The property price of this unit is Rs 110 L. Monthly maintenance costs Rs 3330. The built-up area is 1665 Square feet. It is an ideal location for young families with kids, as this property is close to Rashtrotthana Vidya Kendra, DANCE CLASS Shadowz One' dance fitness, and Jain Heritage School (JHS). Healthcare facility is ...",3,"Yes",3,"Thanisandra"
"Abhee Nakshatra","₹92.0 L","Mullur",1474,6240,"One of the finest property in Mullur is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 4 storeyed building. The price of this Apartment is Rs 92.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 1474 Square feet. The carpet area is 1032 Square feet. There are 3 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Harvest International School - Best CBSE School in Bangalo...",3,"Yes",3,"Bangalore"
"Sai Purvi Symphony","₹150 L","Thippasandra",1285,11670,"One of the finest property in Thippasandra is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 12. It is a 24 storeyed building. The price of this Apartment is Rs 100 L. Other charges when you move into this property include maintenance, which is Rs 5000. This Apartment is spacious with a built-up area of 1285 Square feet. The carpet area is 924 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Sowmya Nursery Teacher Training Institute and Psych...",3,"Yes",2,"Bangalore"
"NR Windgates","₹95.0 L","Chokkanahalli",1422,6680,"A 3 BHK Apartment for sale in Chokkanahalli, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Chokkanahalli's most desired properties. Contact now for more information. This 3 BHK unit is on floor 2. There are 4 floors in this property. The price of this Apartment is Rs 95.0 L. Maintenance charges come to Rs 4200. Each unit has a built-up area of 1422 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near Karnataka Public School, Rashtrotthana Vidya Kendra, and Gre...",3,"Yes",3,"Bangalore"
"Golden Pearl","₹137 L","Attibele",2345,5840,"Greetings from Golden pearl
Golden pearl  project is a 50 Acre township of 285 villas And 100+luxury Amenities
Amenities and Security features :
Golden pearl project offers an array of world class amenities like Club House, Indoor and Outdoor games,Super Market,Clinic,
Clock Tower, Shuttle services,different types of Parks,Swimming pool,etc..
To Choose a Suitable Independent and luxury villa and to spend in your dream house. They are several modern amenities Like Gym, Indoor games, Garden, cafeteria, Rainwater harvesting, car parking and modular kitchen. We Offer 3BHK and 4BHK with gated Commu...",4,"Yes",3,"Bangalore"
"Aster park,Self Financed Society 208 Colony, Yelahanka New Town,Bangalore","₹110 L","Aster park,Self Financed Society 208 Colony",1577,6970,"3 BHK Apartment for sale in Bengaluru. This property is in Yelahanka New Town, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 11. The total number of floors in this Apartment is 17. The price of the Apartment is Rs 110 L. Monthly maintenance charges come to Rs 6000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of ...",3,"Yes",3,"Yelahanka New Town"
"Pearlite Lakeside","₹65.0 L","Sai Meadows",1233,5270,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Bengaluru's top location, Parappana Agrahara. It is situated on floor 4. The total number of floors in this Apartment is 5. The property price of this unit is Rs 65.0 L. The built-up area is 1233 Square feet. There are 2 bedrooms and 2 bathroom. This property in Parappana Agrahara, Bengaluru has lift facility as well. It is a safe premise with cctv facility. Other amenities include provisions for Gym, Garden, Sports Facility, Swimming Pool...",3,"Yes",2,"Parappana Agrahara"
"Mantri Splendor by Mantri Developers","₹115 L","Vadarpalya",1575,7300,"One of the finest property in Hennur is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 0. It is a 7 storeyed building. The price of this Apartment is Rs 115 L. This Apartment is spacious with a built-up area of 1575 Square feet. This property ensures you are a quick distance away from the city's best schools such as Sri Balaji Motor Driving Training School, CTA Taekwondo & Fitness Clubs Chellikere, and little lilies Preschool. It is also close to good and reputed hospitals like Motherhood Hospital, Gynecologist & Pediatrician HRB...",3,"No",3,"Hennur"
"Mahaveer Calyx","₹80.0 L","Addischetan Layout",1430,5590,"3 BHK Apartment for sale in Bommanahalli, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Bommanahalli which is a promising investment destination in Bengaluru. This might be your chance to grab the best 3 BHK property for sale in Bommanahalli. The property is on floor 4 and the total number of floors is 4. This 3 BHK Apartment is available at a reasonable price of Rs 80.0 L. Residents also need to pay maintenance charges of Rs 5000. It is a very spacious property, spread over 1405 Square feet. The built-up area...",3,"Yes",3,"Bommanahalli"
"Vijaya Vijay Mansion","₹63.0 L","Pai Layout",1467,4290,"Check out this 2 BHK Apartment for sale in Mahadevapura, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Mahadevapura is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 5. The property's price is Rs 63.0 L. Residents in this property pay Rs 3500 towards maintenance. This property is a modern-day abode, with 1467 Square feet built-up area. The un...",3,"No",2,"Mahadevapura"
"Vijaya Vijay Mansion","₹63.0 L","Pai Layout",1467,4290,"2 BHK Apartment for sale in Bengaluru. This property is in Mahadevapura, which is a coveted investment location. This tastefully designed 2 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 3. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 63.0 L. Monthly maintenance charges come to Rs 3500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1467 Squ...",3,"No",2,"Mahadevapura"
"Shree Tirumala Sunidhi Desire","₹60.0 L","Devarachikkana Halli",1084,5540,"Property for sale in Devarachikkana Halli, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 10. The total number of floors in this building is 10. This Apartment's price is Rs 60.0 L. Homebuyers will also need to pay Rs 3000 towards maintenance. The built-up area is 1084 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Bozo Wags Veterinary Hospital & Pet Services, Jayashre...",3,"Yes",2,"Bangalore"
"Aratt Premier","₹82.0 L","Seetharampalya",1102,7440,"2 BHK Apartment for sale in Hoodi, Bengaluru. This 2 BHK unit is available in Hoodi and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Hoodi. It is on floor 6. The total number of floors is 10. The price of this Apartment is Rs 82.0 L. The built-up area is 1102 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from Rainbow Children’s Hospital, Rainbow Children's Hospitals & BirthRight by Rainbow, Marathahalli, and Bro...",3,"No",2,"Hoodi"
"Sri Sai samruddi enclave","₹80.0 L","B Narayanapura",1160,6900,"Check out this 2 BHK Apartment for sale in Mahadevapura, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Mahadevapura is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 4. The total number of floors in this project is 5. The property's price is Rs 80.0 L. This property is a modern-day abode, with 1160 Square feet built-up area. Educational institutions are closeby with schools such as Gopalan ...",3,"Yes",2,"Mahadevapura"
"Sobha Amber by Sobha Limited","₹140 L","Rachenahalli",1900,7370,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Jakkur. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. This Apartment is available at a reasonable price of Rs 140 L. The built up area of this property is 1900 Square feet. There are a number of reputed schools in the vicinity such as Rashtrotthana Vidya Kendra, DANCE CLASS Shadowz One' dance fitness, and Greenfield Public School. Medical facility is also close at hand with names like Motherhood Hospital - ...",3,"Yes",3,"Jakkur"
"Century Breeze","₹130 L","Rachenahalli",1400,9290,"2 BHK Apartment for sale in Jakkur, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Jakkur which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Jakkur. The property is on floor 3 and the total number of floors is 14. This 2 BHK Apartment is available at a reasonable price of Rs 130 L. Residents also need to pay maintenance charges of Rs 0. The built-up area is 1400 Square feet. It enjoys a strategic location with many reputed and multisp...",3,"Yes",2,"Jakkur"
"Accent Ashelar by Accent Homez","₹65.0 L","Chikkanagamangala",1650,3940,"Looking for a good 2 BHK Apartment in Chikkanagamangala, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 4. This Apartment is available for Rs 65.0 L. This modern unit has a built-up area of 1650 Square feet. It is very close to some of city's best hospitals, such as, Yashaayu Multi Speciality Ayurveda and Panchakarma Centre- (best Ayurvedic Clinic for Eye,ENT, Skin & Hair in Bengaluru), SACRED OAK HOSPITAL, and JJ HOSPITALS. Established schools, such as Smrti Academy, Sri Chaitanya...",3,"Yes",2,"Bangalore"
"Marvel Shine","₹60.0 L","Mariyannapalya",1200,5000,"2 BHK Apartment for sale in Hebbal Kempapura, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Hebbal Kempapura which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Hebbal Kempapura. The property is on floor 0 and the total number of floors is 4. Residents also need to pay maintenance charges of Rs 1500. The built-up area is 1200 Square feet. This property has provision for 2 bathroom. Lift is provided in this property. The property has cc...",3,"No",2,"Hebbal Kempapura"
"Prakruthi Krishna Apartments","₹75.0 L","Vaishnavi Layout",1621,4630,"Property for sale in Vidyaranyapura, Bengaluru. This 3 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 4. This Apartment's price is Rs 75.0 L. Homebuyers will also need to pay Rs 2500 towards maintenance. The built-up area is 1621 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Aveksha Hospital, OLIVE DENTAL By Dr. Ashwin Mathews, and Naga...",3,"Yes",3,"Vidyaranyapura"
"DS Max Signature","₹74.0 L","Devinagar",1241,5960,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Bengaluru's top location, Devinagar. It is situated on floor 4. The total number of floors in this Apartment is 4. The property price of this unit is Rs 74.0 L. Monthly maintenance costs Rs 3100. The carpet area of this unit is 950 Square feet. The built-up area is 1241 Square feet. There are 2 bedrooms and 2 bathroom. This property in Devinagar, Bengaluru has lift facility as well. It is a safe premise with cctv facility. Other amenities ...",3,"No",2,"Bangalore"
"Hoodi, Bangalore","₹90.0 L","Hoodi",1730,5200,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Hoodi. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 4 floors. This Apartment is available at a reasonable price of Rs 90.0 L. The built up area of this property is 1730 Square feet. There are a number of reputed schools in the vicinity such as Gopalan National School, Gopalan Sports Center, and Gopalan School of Architecture & Planning. Medical facility is also close at hand with names like Manipal Hospital Whitefiel...",3,"Yes",3,"Bangalore"
"GD Layout, Vidyaranyapura,Bangalore","₹76.0 L","GD Layout",1460,5210,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Bengaluru's top location, Vidyaranyapura. It is situated on floor 4. The total number of floors in this Apartment is 9. The property price of this unit is Rs 76.0 L. The built-up area is 1460 Square feet. It is an ideal location for young families with kids, as this property is close to Montessori Teacher Training SAMS Academy, Kendriya Vidyalaya No.2 Jalahalli East, and Rajarajeshwari English School Thindlu. Healthcare facility is also cl...",3,"Yes",3,"Vidyaranyapura"
"TG Lakevista apartment,AECS C Block, Begur,Bangalore","₹58.0 L","TG Lakevista apartment,AECS C Block",1227,4730,"Looking for a good 2 BHK Apartment in Begur, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 0. Total number of floors is 4. Maintenance charges of this property is Rs 2500. This Apartment is available for Rs 58.0 L. This modern unit has a built-up area of 1227 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Bozo Wags Veterinary Hospital & Pet Services, Jayashree Multi Speciality Hospital, and SRI SPECTRA DIAGNOSTICS AND CLINIC. Established schools, ...",3,"Yes",2,"Begur"
"Aswani Aaeesha","₹45.0 L","Konappana Agrahara",545,8260,"2 BHK Apartment for sale in Electronic City, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Electronic City which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Electronic City. The property is on floor 2 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 45.0 L. The built-up area is 545 Square feet. This property has provision for 1 bathroom. It enjoys a strategic location with many repute...",2,"Yes",2,"Rayasandra"
"Artha Citrine by Artha Property","₹25.0 L","Attibele",500,5000,"1 BHK Apartment for sale in Attibele, Bengaluru. This 1 BHK unit is available in Attibele and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Attibele. It is on floor 2. The total number of floors is 3. The price of this Apartment is Rs 25.0 L. The built-up area is 500 Square feet. This property is at a walking distance from Sri Ragava Children's & General Hospital, TRINETRA EYE CARE, and Sanjeevini Manjari Clinic, ಸಂಜೀವಿನಿ ಮಂಜರಿ ಕ್ಲಿನಿಕ್. The city's best s...",2,"Yes",1,"Bangalore"
"Kothanur, Bangalore","₹110 L","Kothanur",1740,6320,"Check out this 2 BHK Apartment for sale in Kothanur, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Kothanur is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 4. The total number of floors in this project is 4. The property's price is Rs 110 L. This property is a modern-day abode, with 1740 Square feet built-up area. The carpet-area is 1740 Square feet. The unit has 2 bedrooms and 3 bathroo...",3,"Yes",2,"Bangalore"
"Sarjapur Road ,Kasavanahalli, Bangalore","₹78.0 L","Sarjapur Road ,Kasavanahalli",1225,6370,"2 & 3 BHK Flats for sale in Sarjapur road, opposite to Wipro SEZ
Price starts from 76 Lakhs onwards
25+best in amenities
Approved by BDA & RERA
Few ready to move flats are left, so come and grab it soon.
 More About This Property One of the finest property in Kasavanahalli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 4 storeyed building. The price of this Apartment is Rs 78.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 12...",3,"Yes",2,"Bangalore"
"Siri desire ,Poornapragna Housing Society L, Kodipur,Bangalore","₹60.0 L","Siri desire ,Poornapragna Housing Society L",1350,4440,"A 3 BHK Apartment for sale in Kodipur, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Kodipur's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 4 floors in this property. The price of this Apartment is Rs 60.0 L. Maintenance charges come to Rs 1000. Each unit has a built-up area of 1350 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near BNMIT Boys Hostel, jonsingh c i d u k, and The Happy Valley School. It i...",3,"Yes",3,"Kodipur"
"Vensa Residency","₹96.0 L","Aishwarya Crystal Layout",1710,5610,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Begur. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 4 floors. This Apartment is available at a reasonable price of Rs 96.0 L. Maintenance charges in this property is Rs 5000. The built up area of this property is 1710 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as Little Elly Preschool, Little Elly, and Roots to wings. Medical facility is also close at ...",3,"Yes",3,"Singasandra"
"Jahnvi Meadows ,Akshaya Vana, Akshayanagar,Bangalore","₹52.0 L","Jahnvi Meadows ,Akshaya Vana",1500,3470,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Akshayanagar. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 6 floors. This Apartment is available at a reasonable price of Rs 52.0 L. Maintenance charges in this property is Rs 6000. The built up area of this property is 1500 Square feet. It is spacious for a family and this property has a carpet area of 1480 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such a...",3,"No",3,"Akshayanagar"
"Plama Heights","₹120 L","Punappa Layout",1800,6670,"A 3 BHK Apartment for sale in HBR Layout, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of HBR Layout's most desired properties. Contact now for more information. This 3 BHK unit is on floor 2. There are 12 floors in this property. The price of this Apartment is Rs 120 L. Maintenance charges come to Rs 40000. Each unit has a built-up area of 1800 Square feet. The carpet area is 1700 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Ekya School, Hennur, Bright...",3,"Yes",3,"HBR Layout"
